20240318	17:50:56	fdac26aa-d905-4d28-8a6b-5cf180f5d25e	TypeError: foundUser.comparePassword is not a function	POST	/auth	http://localhost:3000
20240318	17:51:44	af0b79dc-b25f-4131-827d-4ae7dc40e0c6	TypeError: foundUser.comparePassword is not a function	POST	/auth	http://localhost:3000
20240319	10:10:24	f1ceceb7-f484-4b59-9d29-43f13da54d2d	TypeError: foundUser.comparePassword is not a function	POST	/auth	http://localhost:3000
20240319	10:14:58	a2ece458-1ad8-492d-96bc-02fceedbf4a2	TypeError: foundUser.comparePassword is not a function	POST	/auth	http://localhost:3000
20240319	10:54:15	de8fd52a-9db0-4a29-83b1-bcaf6fe4e692	TypeError: foundUser.comparePassword is not a function	POST	/auth/login	http://localhost:3000
20240319	13:03:18	8ab7bb64-c8b9-4b90-9247-4403f6bb46c1	TypeError: foundUser.comparePassword is not a function	POST	/auth/login	http://localhost:3000
20240320	14:27:27	baf0c34b-65a3-4dcb-a334-d0ce54184e1b	Error: data and hash arguments required	POST	/auth/login	http://localhost:3000
20240320	14:29:29	af8e2fb5-ef06-45a0-9cf2-8c813c1ff119	Error: data and hash arguments required	POST	/auth/login	http://localhost:3000
20240320	14:30:34	971226ba-9e62-4800-8672-beb377d8cfca	Error: data and hash arguments required	POST	/auth/login	http://localhost:3000
20240320	14:32:22	254b7fb5-939a-44d2-99a2-ee9f2028a296	Error: data and hash arguments required	POST	/auth/login	http://localhost:3000
20240320	14:32:55	54e57348-a667-423e-8921-4cd273f32883	Error: data and hash arguments required	POST	/auth/login	http://localhost:3000
20240320	14:33:48	bd5d4f03-c56f-496f-8967-914b87df5732	Error: data and hash arguments required	POST	/auth/login	http://localhost:3000
20240322	15:58:11	7a7da915-21d2-41ba-a5e7-331eb8256b25	ValidationError: Listing validation failed: offer: Path `offer` is required., listingType: Path `listingType` is required., parking: Path `parking` is required., furnished: Path `furnished` is required., bedrooms: Path `bedrooms` is required., bathrooms: Path `bathrooms` is required., discountedPrice: Path `discountedPrice` is required., regularPrice: Path `regularPrice` is required., address: Path `address` is required., description: Path `description` is required., name: Path `name` is required.	POST	/listing	http://localhost:3000
